Alabama,4.48
Alaska ,6.91
Arizona,6.27
Arkansas,5.28
California,5.26
Colorado,4.79
Connecticut,7.7
Delaware,5.09
DC,6.87
Florida,5.34
Georgia,4.37
Hawaii,8.19
Idaho,4.56
Illinois,5.7
Indiana,5.03
Iowa,5.54
Kansas,4.85
Kentucky ,4.45
Louisiana,4.34
Maine,6.18
Maryland,6.04
Massachusetts,7.19
Michigan,6
Minnesota,5.27
Mississippi,4.71
Missouri,3.93
Montana,5.58
Nebraska,4.8
Nevada,4.88
New Hampshire,5.34
New Jersey,7.1
New Mexico,5.7
New York,9.11
North Carolina,4.53
North Dakota,4.24
Ohio,5.32
Oklahoma,4.87
Oregon,4.94
Pennsylvania,5.47
Rhode Island,7.58
South Carolina,4.56
South Dakota,5.58
Tennessee,4.75
Texas,5.74
Utah,5.69
Vermont,7.01
Virginia,4.43
Washington,7.37
West Virginia,4.45
Wisconsin,6.71
Wyoming,4.64
